"match_id","gameCreation","gameDuration","gameVersion"
"NA1_4216144394",1644742333000,1553,"12.3.421.5967"
"NA1_4216629769",1644794982000,1956,"12.3.421.5967"
"NA1_4214188593",1644614587000,1337,"12.3.421.5967"
"NA1_4216409396",1644781348000,1823,"12.3.421.5967"
"NA1_4210140437",1644278190000,2021,"12.3.421.5967"
"NA1_4215287531",1644678030000,2632,"12.3.421.5967"
"NA1_4215309390",1644686582000,1072,"12.3.421.5967"
"NA1_4215203147",1644659534000,2394,"12.3.421.5967"
"NA1_4216674552",1644797692000,1430,"12.3.421.5967"
"NA1_4216253463",1644752682000,1391,"12.3.421.5967"
"NA1_4215391867",1644688376000,2161,"12.3.421.5967"
"NA1_4216439252",1644781506000,1755,"12.3.421.5967"
"NA1_4213755484",1644556455000,1810,"12.3.421.5967"
"NA1_4216477367",1644784980000,1593,"12.3.421.5967"
"NA1_4216393963",1644778699000,1694,"12.3.421.5967"
"NA1_4213144707",1644514868000,1945,"12.3.421.5967"
"NA1_4216354812",1644773565000,1954,"12.3.421.5967"
"NA1_4215722417",1644716392000,2148,"12.3.421.5967"
"NA1_4216673020",1644796949000,1435,"12.3.421.5967"
"NA1_4216313259",1644765160000,2502,"12.3.421.5967"
"NA1_4214346012",1644622585000,2035,"12.3.421.5967"
"NA1_4216594415",1644792484000,2862,"12.3.421.5967"
"NA1_4214711142",1644638259000,1947,"12.3.421.5967"
"NA1_4216540443",1644786441000,2678,"12.3.421.5967"
"NA1_4216601078",1644791026000,1966,"12.3.421.5967"
"NA1_4216114440",1644737650000,1617,"12.3.421.5967"
"NA1_4211259535",1644370176000,1967,"12.3.421.5967"
"NA1_4215631073",1644707755000,1674,"12.3.421.5967"
"NA1_4216532751",1644787285000,788,"12.3.421.5967"
"NA1_4216107430",1644738891000,1391,"12.3.421.5967"
"NA1_4216501087",1644786206000,2317,"12.3.421.5967"
"NA1_4212851522",1644471747000,2179,"12.3.421.5967"
"NA1_4215887280",1644725075000,2635,"12.3.421.5967"
"NA1_4216642330",1644796330000,2614,"12.3.421.5967"
"NA1_4216665859",1644798066000,1447,"12.3.421.5967"
"NA1_4214982137",1644644649000,1736,"12.3.421.5967"
"NA1_4213533639",1644546931000,2017,"12.3.421.5967"
"NA1_4190715167",1643000172000,1893,"12.2.419.1399"
"NA1_4214566483",1644634105000,2090,"12.3.421.5967"
"NA1_4215313097",1644682460000,1811,"12.3.421.5967"
"NA1_4215744446",1644717447000,1446,"12.3.421.5967"
"NA1_4216649930",1644795169000,1782,"12.3.421.5967"
"NA1_4210886313",1644338117000,1654,"12.3.421.5967"
"NA1_4209531190",1644213738000,1500,"12.3.421.5967"
"NA1_4215927538",1644728068000,1780,"12.3.421.5967"
"NA1_4204894992",1643932442000,1833,"12.3.421.5967"
"NA1_4216115220",1644737971000,2161,"12.3.421.5967"
"NA1_4216478996",1644785654000,1439,"12.3.421.5967"
"NA1_4214709992",1644637953000,2124,"12.3.421.5967"
"NA1_4215544941",1644704658000,1961,"12.3.421.5967"
"NA1_4216187047",1644745077000,1140,"12.3.421.5967"
"NA1_4214135572",1644607884000,1289,"12.3.421.5967"
"NA1_4212298797",1644442856000,1302,"12.3.421.5967"
"NA1_4215224944",1644661865000,1635,"12.3.421.5967"
"NA1_4215860257",1644722704000,1781,"12.3.421.5967"
"NA1_4211517824",1644384106000,1513,"12.3.421.5967"
"NA1_4213839863",1644561458000,1833,"12.3.421.5967"
"NA1_4171368412",1641774063000,201,"12.1.416.4011"
"NA1_4206049522",1644013395000,2637,"12.3.421.5967"
"NA1_4022105645",1629869150000,1684524,"11.16.390.1945"
"NA1_4210723869",1644314505000,1597,"12.3.421.5967"
"NA1_4211486593",1644380868000,2145,"12.3.421.5967"
"NA1_4215496955",1644701242000,1937,"12.3.421.5967"
"NA1_4187974509",1642830339000,2854,"12.2.419.1399"
"NA1_4216224271",1644752861000,2048,"12.3.421.5967"
"NA1_4216180697",1644740769000,2480,"12.3.421.5967"
"NA1_4216065441",1644734094000,2622,"12.3.421.5967"
"NA1_4213871308",1644562225000,1806,"12.3.421.5967"
"NA1_4216516701",1644789022000,2127,"12.3.421.5967"
"NA1_4214222227",1644612049000,2008,"12.3.421.5967"
"NA1_4216503330",1644787216000,1987,"12.3.421.5967"
"NA1_4211343773",1644374272000,1190,"12.3.421.5967"
"NA1_4213685321",1644553294000,1601,"12.3.421.5967"
"NA1_4216506412",1644788510000,2216,"12.3.421.5967"
"NA1_4213911226",1644567242000,1930,"12.3.421.5967"
"NA1_4205692180",1643988053000,800,"12.3.421.5967"
"NA1_4216264543",1644765002000,2079,"12.3.421.5967"
"NA1_4214087203",1644602824000,2757,"12.3.421.5967"
"NA1_4216513209",1644787516000,197,"12.3.421.5967"
"NA1_4216637239",1644798611000,1599,"12.3.421.5967"
"NA1_4212551265",1644456590000,1624,"12.3.421.5967"
"NA1_4215135786",1644654100000,1792,"12.3.421.5967"
"NA1_4216447884",1644784822000,1661,"12.3.421.5967"
"NA1_4215588204",1644706626000,1739,"12.3.421.5967"
"NA1_4206461919",1644024751000,1631,"12.3.421.5967"
"NA1_4189515876",1642916877000,1626,"12.2.419.1399"
"NA1_4216599445",1644794925000,2241,"12.3.421.5967"
"NA1_4216551841",1644787203000,1920,"12.3.421.5967"
"NA1_4215856627",1644724738000,1660,"12.3.421.5967"
"NA1_4215968556",1644731264000,1913,"12.3.421.5967"
"NA1_4210707581",1644309992000,1850,"12.3.421.5967"
"NA1_4210291335",1644285100000,2168,"12.3.421.5967"
"NA1_4215791512",1644719813000,1409,"12.3.421.5967"
"NA1_4209880880",1644259328000,1708,"12.3.421.5967"
"NA1_4216469589",1644785905000,2134,"12.3.421.5967"
"NA1_4209380629",1644205183000,1204,"12.3.421.5967"
"NA1_4214778181",1644640567000,1914,"12.3.421.5967"
"NA1_4215549367",1644706678000,1947,"12.3.421.5967"
"NA1_4215695217",1644713876000,2466,"12.3.421.5967"
"NA1_4213633464",1644549939000,2051,"12.3.421.5967"
"NA1_4212961470",1644480824000,1908,"12.3.421.5967"
"NA1_4212990000",1644487457000,2151,"12.3.421.5967"
"NA1_4214524471",1644633147000,1095,"12.3.421.5967"
"NA1_4208122755",1644132779000,1645,"12.3.421.5967"
"NA1_4210969496",1644352769000,1722,"12.3.421.5967"
"NA1_4204899127",1643933734000,2159,"12.3.421.5967"
"NA1_4178960466",1642282216000,1876,"12.1.416.4011"
"NA1_4210340817",1644287545000,1482,"12.3.421.5967"
"NA1_4216521945",1644787017000,1743,"12.3.421.5967"
"NA1_4203813993",1643847874000,1695,"12.3.420.4308"
"NA1_4191240646",1643015308000,1713,"12.2.419.1399"
"NA1_4212569210",1644461775000,1889,"12.3.421.5967"
"NA1_4216236713",1644756838000,2199,"12.3.421.5967"
"NA1_4208701430",1644184656000,1618,"12.3.421.5967"
"NA1_4216242495",1644750763000,1213,"12.3.421.5967"
"NA1_4201180830",1643678459000,1769,"12.2.419.1399"
"NA1_4184738690",1642653670000,1264,"12.1.416.4011"
"NA1_4216657443",1644798883000,1398,"12.3.421.5967"
"NA1_4206200244",1644013465000,2034,"12.3.421.5967"
"NA1_4216043370",1644733249000,2146,"12.3.421.5967"
"NA1_4214346096",1644622608000,1817,"12.3.421.5967"
"NA1_4216572939",1644791713000,2470,"12.3.421.5967"
"NA1_4216618131",1644794558000,1745,"12.3.421.5967"
"NA1_4215157769",1644655398000,2350,"12.3.421.5967"
"NA1_4216641621",1644795912000,1795,"12.3.421.5967"
"NA1_4215377671",1644691745000,1991,"12.3.421.5967"
